User_ID,Age,Gender,Annual_Income,Risk_Tolerance,Investment_Goal,Preferred_Sector,Investment_Horizon,Current_Investments,Recommended_Portfolio
U1000,27,Female,98977,Low,Wealth Growth,Consumer Goods,Medium-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1001,58,Male,46433,High,Emergency Fund,Energy,Medium-term,Crypto,"70% Stocks, 20% Bonds, 10% Crypto"
U1002,27,Female,67265,Low,House Purchase,Energy,Short-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1003,27,Female,145122,Medium,House Purchase,Real Estate,Long-term,Mixed Portfolio,"60% Real Estate, 30% Stocks, 10% Bonds"
U1004,28,Male,92188,Low,Wealth Growth,Energy,Short-term,Mutual Funds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1005,64,Male,141409,Medium,Education,Tech,Medium-term,Stocks,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1006,63,Female,188090,Medium,Retirement,Finance,Short-term,Real Estate,"70% Stocks, 20% Bonds, 10% Crypto"
U1007,42,Male,190841,Medium,House Purchase,Real Estate,Short-term,Stocks,"60% Real Estate, 30% Stocks, 10% Bonds"
U1008,45,Male,144127,High,Retirement,Real Estate,Medium-term,Crypto,"80% Stocks, 10% Crypto, 10% Cash"
U1009,54,Male,156694,Medium,Education,Real Estate,Short-term,Bonds,"60% Real Estate, 30% Stocks, 10% Bonds"
U1010,57,Female,48530,Low,Education,Consumer Goods,Medium-term,Bonds,"60% Real Estate, 30% Stocks, 10% Bonds"
U1011,21,Male,101547,Low,Emergency Fund,Healthcare,Long-term,Mixed Portfolio,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1012,20,Male,30999,High,Education,Tech,Medium-term,Mixed Portfolio,"70% Stocks, 20% Bonds, 10% Crypto"
U1013,59,Male,143154,Low,Retirement,Tech,Short-term,Mixed Portfolio,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1014,28,Female,81181,High,Education,Consumer Goods,Long-term,Mixed Portfolio,"70% Stocks, 20% Bonds, 10% Crypto"
U1015,49,Male,167377,Medium,Emergency Fund,Finance,Medium-term,Stocks,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1016,30,Female,90155,Low,Emergency Fund,Healthcare,Short-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1017,21,Male,113450,Low,House Purchase,Tech,Short-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1018,46,Male,165140,Medium,Emergency Fund,Energy,Medium-term,Real Estate,"60% Real Estate, 30% Stocks, 10% Bonds"
U1019,43,Female,38777,Low,Education,Consumer Goods,Medium-term,Mixed Portfolio,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1020,34,Male,122155,Medium,House Purchase,Tech,Medium-term,Real Estate,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1021,29,Male,189896,High,Emergency Fund,Energy,Short-term,Bonds,"60% Real Estate, 30% Stocks, 10% Bonds"
U1022,43,Male,67229,High,Education,Real Estate,Long-term,Mixed Portfolio,"60% Real Estate, 30% Stocks, 10% Bonds"
U1023,28,Female,39517,Medium,House Purchase,Consumer Goods,Long-term,Crypto,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1024,63,Male,163159,Low,Wealth Growth,Consumer Goods,Short-term,Mixed Portfolio,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1025,25,Other,102711,Low,House Purchase,Tech,Long-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1026,24,Female,123042,Medium,Wealth Growth,Real Estate,Short-term,Mutual Funds,"60% Real Estate, 30% Stocks, 10% Bonds"
U1027,53,Other,167883,Low,Emergency Fund,Healthcare,Short-term,Real Estate,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1028,34,Other,89645,Medium,House Purchase,Consumer Goods,Short-term,Bonds,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1029,43,Male,23373,High,House Purchase,Finance,Long-term,Stocks,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1030,57,Female,78992,Medium,Emergency Fund,Healthcare,Long-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1031,44,Female,74158,Medium,Education,Finance,Short-term,Mixed Portfolio,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1032,53,Male,152833,High,Emergency Fund,Consumer Goods,Medium-term,Bonds,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1033,21,Female,119870,Medium,Wealth Growth,Finance,Medium-term,Bonds,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1034,55,Male,78889,Medium,Retirement,Consumer Goods,Short-term,Stocks,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1035,63,Female,193912,Low,Retirement,Consumer Goods,Long-term,Real Estate,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1036,22,Female,74752,Low,House Purchase,Real Estate,Medium-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1037,28,Male,97334,Low,Wealth Growth,Tech,Short-term,Crypto,"70% Stocks, 20% Bonds, 10% Crypto"
U1038,36,Male,20136,Medium,Wealth Growth,Energy,Medium-term,Stocks,"60% Real Estate, 30% Stocks, 10% Bonds"
U1039,38,Female,58704,Medium,Emergency Fund,Finance,Short-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1040,63,Female,193940,Medium,House Purchase,Consumer Goods,Short-term,Mixed Portfolio,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1041,46,Female,125244,High,Wealth Growth,Healthcare,Long-term,Mixed Portfolio,"80% Stocks, 10% Crypto, 10% Cash"
U1042,23,Female,187914,Medium,House Purchase,Healthcare,Short-term,Mutual Funds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1043,22,Other,150296,Medium,Emergency Fund,Consumer Goods,Short-term,Real Estate,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1044,21,Female,93185,Medium,Wealth Growth,Energy,Short-term,Mixed Portfolio,"60% Real Estate, 30% Stocks, 10% Bonds"
U1045,20,Male,103021,Low,Emergency Fund,Tech,Long-term,Mixed Portfolio,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1046,56,Other,199705,High,Emergency Fund,Tech,Long-term,Stocks,"80% Stocks, 10% Crypto, 10% Cash"
U1047,60,Female,181759,Medium,Education,Consumer Goods,Medium-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1048,49,Male,102409,High,Education,Consumer Goods,Short-term,Mutual Funds,"80% Stocks, 10% Crypto, 10% Cash"
U1049,25,Female,93807,Low,Emergency Fund,Finance,Short-term,Mixed Portfolio,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1050,30,Male,127290,High,Emergency Fund,Tech,Short-term,Mixed Portfolio,"80% Stocks, 10% Crypto, 10% Cash"
U1051,26,Male,159602,Low,House Purchase,Real Estate,Short-term,Mixed Portfolio,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1052,39,Female,51800,High,Retirement,Consumer Goods,Medium-term,Real Estate,"70% Stocks, 20% Bonds, 10% Crypto"
U1053,46,Male,174924,High,Retirement,Healthcare,Short-term,Mixed Portfolio,"80% Stocks, 10% Crypto, 10% Cash"
U1054,34,Female,192679,Medium,Wealth Growth,Energy,Long-term,Stocks,"60% Real Estate, 30% Stocks, 10% Bonds"
U1055,46,Male,79704,Medium,Education,Consumer Goods,Long-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1056,23,Female,107767,Low,Wealth Growth,Real Estate,Short-term,Real Estate,"80% Stocks, 10% Crypto, 10% Cash"
U1057,29,Other,37667,Medium,Emergency Fund,Consumer Goods,Long-term,Bonds,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1058,24,Male,22751,Low,Wealth Growth,Finance,Short-term,Mutual Funds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1059,61,Male,65204,Low,Emergency Fund,Finance,Long-term,Stocks,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1060,33,Male,24002,Medium,Emergency Fund,Tech,Short-term,Mutual Funds,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1061,33,Male,46227,Low,Wealth Growth,Consumer Goods,Short-term,Mutual Funds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1062,22,Other,181819,Medium,House Purchase,Healthcare,Short-term,Mixed Portfolio,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
